NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,115,50,4,369,1,0,90,45,1,2.464991
35,73,20,2,247,0,1,42,21,1,1.632524
35,65,13,6,259,0,1,52,26,1,1.702997
35,97,34,2,328,1,0,69,34,1,2.125997
35,51,8,2,256,0,1,36,18,1,1.810997
35,103,34,1,328,1,0,67,33,1,2.076995
35,75,20,1,295,1,0,52,26,1,1.741998
35,100,33,1,322,1,0,61,30,1,1.763003
35,63,16,4,224,1,0,36,18,1,1.66801
35,82,27,6,327,1,0,62,31,1,1.880999
35,66,7,2,314,0,1,41,20,1,1.565999
35,68,19,1,328,1,0,53,26,1,1.821997
35,63,13,0,270,0,1,41,20,1,1.491978
35,47,11,2,247,0,1,29,14,1,1.556996
35,65,16,2,259,0,1,41,20,1,1.577998
35,56,13,1,259,0,1,33,16,1,1.338998
35,32,11,5,202,0,1,22,11,1,1.340004
35,58,16,4,263,0,1,39,19,1,1.478991
35,88,34,4,327,0,1,61,30,1,2.266998
35,79,12,3,304,1,0,55,27,1,1.773995
35,81,15,1,296,0,1,57,28,1,1.691995
35,71,25,3,243,1,0,43,21,1,1.635512
35,75,27,5,283,0,1,58,29,1,1.75
35,93,40,1,293,1,0,52,26,1,1.953005
35,82,14,2,302,0,1,43,21,1,1.701996
35,70,15,1,272,0,1,43,21,1,1.735003
35,121,29,2,354,1,0,95,47,1,2.725995
35,55,10,4,232,0,1,30,15,1,1.502997
35,78,14,7,305,1,0,61,30,1,1.898994
35,33,11,5,256,0,1,24,12,1,1.397001
35,104,42,4,419,0,1,76,38,1,2.568015
35,57,27,4,231,0,1,31,15,1,1.900997
35,92,23,1,317,1,0,68,34,1,1.981991
35,48,13,4,247,0,1,26,13,1,1.269997
35,97,15,2,294,0,1,63,31,1,1.955
35,74,17,2,309,0,1,39,19,1,1.746002
35,75,28,2,313,0,1,61,30,1,2.329993
