NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
15,0,0,0,0,1,0,11,5,1,0.226993
15,0,0,0,4,1,0,11,5,1,0.300992
15,0,0,0,5,1,0,13,6,1,0.338985
15,0,0,0,2,0,1,11,5,1,0.229
15,0,0,0,4,1,0,13,6,1,0.285992
15,0,0,0,1,1,0,11,5,1,0.296989
15,0,0,0,1,1,0,13,6,1,0.307991
15,0,0,0,3,1,0,11,5,1,0.298993
15,0,0,0,2,0,1,7,3,1,0.273989
15,0,0,0,2,1,0,11,5,1,0.297991
15,0,0,0,4,1,0,11,5,1,0.269998
15,0,0,0,4,1,0,11,5,1,0.258984
15,0,0,0,1,0,1,11,5,1,0.219994
15,0,0,0,1,1,0,11,5,1,0.218989
15,0,0,0,0,1,0,13,6,1,0.201986
15,0,0,0,0,0,1,7,3,1,0.137993
15,0,0,0,2,1,0,11,5,1,0.166991
15,0,0,0,3,1,0,11,5,1,0.279989
15,0,0,0,4,0,1,11,5,1,0.258983
15,0,0,0,0,0,1,13,6,1,0.212993
15,0,0,0,1,1,0,14,7,1,0.266992
15,0,0,0,5,1,0,13,6,1,0.311993
15,0,0,0,3,0,1,9,4,1,0.252988
15,0,0,0,0,1,0,11,5,1,0.309988
15,0,0,0,0,1,0,11,5,1,0.282987
15,0,0,0,4,0,1,11,5,1,0.345992
15,0,0,0,4,0,1,13,6,1,0.331986
15,0,0,0,3,1,0,11,5,1,0.343988
15,0,0,0,3,0,1,9,4,1,0.312988
15,0,0,0,3,1,0,11,5,1,0.361983
15,0,0,0,0,0,1,13,6,1,0.305991
15,0,0,0,2,1,0,13,6,1,0.398987
15,0,0,0,0,1,0,13,6,1,0.324986
15,0,0,0,4,0,1,11,5,1,0.33499
15,0,0,0,1,1,0,11,5,1,0.344984
15,0,0,0,1,0,1,5,2,1,0.212971
15,0,0,0,2,0,1,7,3,1,0.28599
15,0,0,0,1,1,0,11,5,1,0.320988
15,0,0,0,3,0,1,9,4,1,0.362004
15,0,0,0,1,0,1,9,4,1,0.434988
15,0,0,0,4,0,1,11,5,1,0.335987
15,0,0,0,2,1,0,11,5,1,0.339983
15,0,0,0,4,0,1,13,6,1,0.36099
15,0,0,0,3,1,0,11,5,1,0.316989
15,0,0,0,0,0,1,9,4,1,0.241007
15,0,0,0,1,1,0,11,5,1,0.292517
15,0,0,0,0,1,0,13,6,1,0.313987
15,0,0,0,4,1,0,11,5,1,0.329992
15,0,0,0,3,1,0,14,7,1,0.331977
15,0,0,0,1,1,0,11,5,1,0.279988
15,0,0,0,4,1,0,11,5,1,0.284991
15,0,0,0,1,0,1,5,2,1,0.195993
15,0,0,0,0,0,1,13,6,1,0.284982
15,0,0,0,2,0,1,13,6,1,0.281996
15,0,0,0,0,1,0,11,5,1,0.334987
15,0,0,0,0,1,0,13,6,1,0.301986
15,0,0,0,4,1,0,13,6,1,0.320991
15,0,0,0,0,0,1,5,2,1,0.15799
15,0,0,0,5,1,0,13,6,1,0.238992
15,0,0,0,6,1,0,14,7,1,0.227992
15,0,0,0,0,1,0,11,5,1,0.177997
15,0,0,0,1,1,0,13,6,1,0.183994
15,0,0,0,1,1,0,13,6,1,0.21099
15,0,0,0,2,0,1,13,6,1,0.194989
15,0,0,0,5,0,1,13,6,1,0.205993
15,0,2,0,2,0,1,11,5,1,0.172004
15,0,0,0,3,1,0,13,6,1,0.304987
15,0,0,0,0,1,0,13,6,1,0.360986
15,0,0,0,3,0,1,9,4,1,0.277002
15,0,1,0,1,0,1,13,6,1,0.269991
15,0,1,0,3,1,0,11,5,1,0.384984
15,0,0,0,0,1,0,11,5,1,0.286996
15,0,0,0,5,1,0,13,6,1,0.299971
15,0,0,0,5,1,0,13,6,1,0.366985
15,0,0,0,3,1,0,11,5,1,0.303991
15,0,0,0,5,1,0,13,6,1,0.309987
15,0,0,0,3,0,1,9,4,1,0.27699
15,0,0,0,3,1,0,11,5,1,0.348986
15,0,0,0,0,1,0,11,5,1,0.289987
15,0,0,0,0,1,0,13,6,1,0.312988
15,0,0,0,4,0,1,13,6,1,0.310987
15,0,0,0,4,1,0,11,5,1,0.315996
15,0,0,0,0,1,0,11,5,1,0.292989
15,0,0,0,4,1,0,11,5,1,0.273988
15,0,0,0,3,1,0,13,6,1,0.379985
15,0,0,0,1,0,1,5,2,1,0.173997
15,0,0,0,1,1,0,13,6,1,0.274994
15,0,0,0,5,1,0,13,6,1,0.307989
15,0,0,0,2,1,0,11,5,1,0.25899
15,0,0,0,1,1,0,11,5,1,0.251993
15,0,0,0,2,0,1,9,4,1,0.263991
15,0,0,0,2,1,0,13,6,1,0.250987
15,0,0,0,2,1,0,13,6,1,0.289991
15,0,0,0,1,1,0,11,5,1,0.260992
15,0,0,0,3,1,0,11,5,1,0.292988
15,0,0,0,0,1,0,11,5,1,0.249989
15,0,0,0,0,0,1,3,1,1,0.136993
15,0,0,0,1,0,1,5,2,1,0.168999
15,0,0,0,0,1,0,13,6,1,0.278988
15,0,0,0,0,1,0,11,5,1,0.283984
15,0,1,0,4,1,0,13,6,1,0.383971
15,0,0,0,1,1,0,13,6,1,0.365971
15,0,1,0,4,1,0,13,6,1,0.347987
15,0,0,0,3,1,0,11,5,1,0.368986
15,0,0,0,3,0,1,13,6,1,0.314991
15,0,0,0,0,1,0,13,6,1,0.317991
15,0,0,0,5,0,1,13,6,1,0.387987
15,0,0,0,4,1,0,13,6,1,0.379983
15,0,0,0,3,0,1,13,6,1,0.342985
15,0,0,0,4,1,0,11,5,1,0.315989
15,0,0,0,4,1,0,13,6,1,0.339989
15,0,0,0,0,0,1,13,6,1,0.300987
15,0,0,0,4,0,1,13,6,1,0.343985
15,0,0,0,3,1,0,13,6,1,0.361983
15,0,0,0,4,1,0,11,5,1,0.365975
15,0,0,0,1,0,1,9,4,1,0.274996
15,0,0,0,1,0,1,13,6,1,0.581965
15,0,0,0,1,0,1,11,5,1,0.414987
15,0,0,0,0,1,0,13,6,1,0.372985
15,0,0,0,3,1,0,11,5,1,0.293992
15,0,0,0,2,0,1,13,6,1,0.345984
15,0,0,0,1,1,0,11,5,1,0.319988
15,0,0,0,2,0,1,7,3,1,0.281988
15,0,0,0,0,1,0,13,6,1,0.337988
15,0,0,0,4,1,0,13,6,1,0.487982
15,0,0,0,5,1,0,13,6,1,0.379986
15,0,0,0,0,1,0,13,6,1,0.369988
15,0,0,0,1,1,0,11,5,1,0.396983
15,0,0,0,3,1,0,13,6,1,0.513983
15,0,0,0,0,1,0,13,6,1,0.426985
15,0,0,0,1,1,0,11,5,1,0.314987
15,0,0,0,4,1,0,11,5,1,0.345978
15,0,0,0,2,1,0,11,5,1,0.437983
15,0,0,0,3,0,1,11,5,1,0.351991
15,0,0,0,5,0,1,13,6,1,0.402978
15,0,0,0,0,1,0,11,5,1,0.272989
15,0,0,0,2,0,1,7,3,1,0.201999
15,0,0,0,2,0,1,11,5,1,0.247984
15,0,0,0,3,1,0,13,6,1,0.368988
15,0,0,0,2,1,0,11,5,1,0.308979
15,0,0,0,3,0,1,13,6,1,0.34599
15,0,0,0,3,0,1,13,6,1,0.344984
15,0,0,0,3,0,1,9,4,1,0.287989
15,0,0,0,4,1,0,11,5,1,0.304984
15,0,0,0,3,1,0,11,5,1,0.304986
15,0,0,0,1,1,0,12,6,1,0.386981
15,0,0,0,4,1,0,11,5,1,0.353987
15,0,0,0,5,1,0,14,7,1,0.363984
15,0,0,0,3,1,0,14,7,1,0.418979
15,0,0,0,3,1,0,13,6,1,0.360986
15,0,0,0,5,0,1,13,6,1,0.372984
15,0,0,0,5,1,0,13,6,1,0.369994
15,0,0,0,4,1,0,11,5,1,0.304986
15,0,0,0,0,0,1,9,4,1,0.267989
15,0,0,0,2,0,1,13,6,1,0.308981
15,0,0,0,0,0,1,11,5,1,0.274995
15,0,0,0,0,1,0,11,5,1,0.267993
15,0,0,0,2,0,1,13,6,1,0.306987
15,0,0,0,2,0,1,13,6,1,0.288989
15,0,0,0,3,1,0,13,6,1,0.329989
15,0,0,0,2,1,0,13,6,1,0.30499
15,0,0,0,2,0,1,13,6,1,0.302988
15,0,1,0,0,0,1,5,2,1,0.196993
15,0,0,0,1,1,0,11,5,1,0.276985
15,0,1,0,3,0,1,11,5,1,0.29098
15,0,0,0,2,0,1,7,3,1,0.233993
15,0,0,0,2,1,0,12,6,1,0.342001
15,0,0,0,0,0,1,9,4,1,0.241981
15,0,0,0,0,1,0,13,6,1,0.273989
15,0,0,0,0,0,1,13,6,1,0.306984
